Country or Area,Element,Year,Unit,Value,Value Footnotes
Afghanistan,Area,2021,1000 ha,65223,
Africa,Area,2021,1000 ha,2992170.81,
Albania,Area,2021,1000 ha,2740,
Algeria,Area,2021,1000 ha,238174.1,
American Samoa,Area,2021,1000 ha,20,
Americas,Area,2021,1000 ha,3848324.7,
Andorra,Area,2021,1000 ha,47,
Angola,Area,2021,1000 ha,124670,
Anguilla,Area,2021,1000 ha,9,
Antigua and Barbuda,Area,2021,1000 ha,44,
Argentina,Area,2021,1000 ha,273669,
Armenia,Area,2021,1000 ha,2847,
Aruba,Area,2021,1000 ha,18,
Asia,Area,2021,1000 ha,3111486.25,
Australia,Area,2021,1000 ha,769202,
Australia and New Zealand,Area,2021,1000 ha,795537,
Austria,Area,2021,1000 ha,8252,
Azerbaijan,Area,2021,1000 ha,8265,
Bahamas,Area,2021,1000 ha,1001,
Bahrain,Area,2021,1000 ha,79,
Bangladesh,Area,2021,1000 ha,13017,
Barbados,Area,2021,1000 ha,43,
Belarus,Area,2021,1000 ha,20295,
Belgium,Area,2021,1000 ha,3028,
Belize,Area,2021,1000 ha,2281,
Benin,Area,2021,1000 ha,11276,
Bermuda,Area,2021,1000 ha,5.4,
Bhutan,Area,2021,1000 ha,3814,
Bolivia,Area,2021,1000 ha,108330,
"Bonaire, Sint Eustatius and Saba",Area,2021,1000 ha,32.2,
Bosnia and Herzegovina,Area,2021,1000 ha,5120,
Botswana,Area,2021,1000 ha,56673,
Brazil,Area,2021,1000 ha,835814,
British Virgin Islands,Area,2021,1000 ha,15,
Brunei Darussalam,Area,2021,1000 ha,527,
Bulgaria,Area,2021,1000 ha,10856,
Burkina Faso,Area,2021,1000 ha,27360,
Burundi,Area,2021,1000 ha,2568,
Cabo Verde,Area,2021,1000 ha,403,
Cambodia,Area,2021,1000 ha,17652,
Cameroon,Area,2021,1000 ha,47271,
Canada,Area,2021,1000 ha,878870,
Caribbean,Area,2021,1000 ha,22256.1,
Cayman Islands,Area,2021,1000 ha,24,
Central African Republic,Area,2021,1000 ha,62298,
Central America,Area,2021,1000 ha,245211,
Central Asia,Area,2021,1000 ha,394087.3,
Chad,Area,2021,1000 ha,125920,
Channel Islands,Area,2021,1000 ha,19.8,
Chile,Area,2021,1000 ha,74353.2,
China,Area,2021,1000 ha,942470.3,
"China, Hong Kong SAR",Area,2021,1000 ha,105,
"China, Macao SAR",Area,2021,1000 ha,3.3,
"China, mainland",Area,2021,1000 ha,938821,
Other non-specified areas,Area,2021,1000 ha,3541,
Colombia,Area,2021,1000 ha,110950,
Comoros,Area,2021,1000 ha,186.1,
Congo (Brazzaville),Area,2021,1000 ha,34150,
Cook Islands,Area,2021,1000 ha,24,
Costa Rica,Area,2021,1000 ha,5106,
Cote d'Ivoire,Area,2021,1000 ha,31800,
Croatia,Area,2021,1000 ha,5596,
Cuba,Area,2021,1000 ha,10380,
Curaçao,Area,2021,1000 ha,44.4,
Cyprus,Area,2021,1000 ha,924,
Czechia,Area,2021,1000 ha,7718.68,
