"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","Area","2021","1000 ha","65223.00",""
"Africa","Area","2021","1000 ha","2992170.81",""
"Albania","Area","2021","1000 ha","2740.00",""
"Algeria","Area","2021","1000 ha","238174.10",""
"American Samoa","Area","2021","1000 ha","20.00",""
"Americas","Area","2021","1000 ha","3848324.70",""
"Andorra","Area","2021","1000 ha","47.00",""
"Angola","Area","2021","1000 ha","124670.00",""
"Anguilla","Area","2021","1000 ha","9.00",""
"Antigua and Barbuda","Area","2021","1000 ha","44.00",""
"Argentina","Area","2021","1000 ha","273669.00",""
"Armenia","Area","2021","1000 ha","2847.00",""
"Aruba","Area","2021","1000 ha","18.00",""
"Asia","Area","2021","1000 ha","3111486.25",""
"Australia","Area","2021","1000 ha","769202.00",""
"Australia and New Zealand","Area","2021","1000 ha","795537.00",""
"Austria","Area","2021","1000 ha","8252.00",""
"Azerbaijan","Area","2021","1000 ha","8265.00",""
"Bahamas","Area","2021","1000 ha","1001.00",""
"Bahrain","Area","2021","1000 ha","79.00",""
"Bangladesh","Area","2021","1000 ha","13017.00",""
"Barbados","Area","2021","1000 ha","43.00",""
"Belarus","Area","2021","1000 ha","20295.00",""
"Belgium","Area","2021","1000 ha","3028.00",""
"Belize","Area","2021","1000 ha","2281.00",""
"Benin","Area","2021","1000 ha","11276.00",""
"Bermuda","Area","2021","1000 ha","5.40",""
"Bhutan","Area","2021","1000 ha","3814.00",""
"Bolivia (Plurinational State of)","Area","2021","1000 ha","108330.00",""
"Bonaire, Sint Eustatius and Saba","Area","2021","1000 ha","32.20",""
"Bosnia and Herzegovina","Area","2021","1000 ha","5120.00",""
"Botswana","Area","2021","1000 ha","56673.00",""
"Brazil","Area","2021","1000 ha","835814.00",""
"British Virgin Islands","Area","2021","1000 ha","15.00",""
"Brunei Darussalam","Area","2021","1000 ha","527.00",""
"Bulgaria","Area","2021","1000 ha","10856.00",""
"Burkina Faso","Area","2021","1000 ha","27360.00",""
"Burundi","Area","2021","1000 ha","2568.00",""
"Cabo Verde","Area","2021","1000 ha","403.00",""
"Cambodia","Area","2021","1000 ha","17652.00",""
"Cameroon","Area","2021","1000 ha","47271.00",""
"Canada","Area","2021","1000 ha","878870.00",""
"Caribbean","Area","2021","1000 ha","22256.10",""
"Cayman Islands","Area","2021","1000 ha","24.00",""
"Central African Republic","Area","2021","1000 ha","62298.00",""
"Central America","Area","2021","1000 ha","245211.00",""
"Central Asia","Area","2021","1000 ha","394087.30",""
"Chad","Area","2021","1000 ha","125920.00",""
"Channel Islands","Area","2021","1000 ha","19.80",""
"Chile","Area","2021","1000 ha","74353.20",""
"China","Area","2021","1000 ha","942470.30",""
"China, Hong Kong SAR","Area","2021","1000 ha","105.00",""
"China, Macao SAR","Area","2021","1000 ha","3.30",""
"China, mainland","Area","2021","1000 ha","938821.00",""
"Other non-specified areas","Area","2021","1000 ha","3541.00",""
"Colombia","Area","2021","1000 ha","110950.00",""
"Comoros","Area","2021","1000 ha","186.10",""
"Congo","Area","2021","1000 ha","34150.00",""
"Cook Islands","Area","2021","1000 ha","24.00",""
"Costa Rica","Area","2021","1000 ha","5106.00",""
"Côte d'Ivoire","Area","2021","1000 ha","31800.00",""
"Croatia","Area","2021","1000 ha","5596.00",""
"Cuba","Area","2021","1000 ha","10380.00",""
"Curaçao","Area","2021","1000 ha","44.40",""
"Cyprus","Area","2021","1000 ha","924.00",""
"Czechia","Area","2021","1000 ha","7718.68",""
"Democratic People's Republic of Korea","Area","2021","1000 ha","12041.00",""
"Democratic Republic of the Congo","Area","2021","1000 ha","226705.00",""
"Denmark","Area","2021","1000 ha","4000.00",""
"Djibouti","Area","2021","1000 ha","2318.00",""
"Dominica","Area","2021","1000 ha","75.00",""
"Dominican Republic","Area","2021","1000 ha","4753.10",""
"Eastern Africa","Area","2021","1000 ha","683777.41",""
"Eastern Asia","Area","2021","1000 ha","1156472.00",""
"Eastern Europe","Area","2021","1000 ha","1805345.68",""
"Ecuador","Area","2021","1000 ha","24836.00",""
"Egypt","Area","2021","1000 ha","99545.00",""
"El Salvador","Area","2021","1000 ha","2072.00",""
"Equatorial Guinea","Area","2021","1000 ha","2805.00",""
"Eritrea","Area","2021","1000 ha","12104.08",""
"Estonia","Area","2021","1000 ha","4275.00",""
"Eswatini","Area","2021","1000 ha","1720.00",""
"Ethiopia","Area","2021","1000 ha","112857.13",""
"Europe","Area","2021","1000 ha","2213027.19",""
"European Union (27)","Area","2021","1000 ha","399658.18",""
"Falkland Islands (Malvinas)","Area","2021","1000 ha","1217.00",""
"Faroe Islands","Area","2021","1000 ha","137.00",""
"Fiji","Area","2021","1000 ha","1827.00",""
"Finland","Area","2021","1000 ha","30394.77",""
"France","Area","2021","1000 ha","54755.70",""
"French Guiana","Area","2021","1000 ha","8281.00",""
"French Polynesia","Area","2021","1000 ha","347.10",""
"Gabon","Area","2021","1000 ha","25767.00",""
"Gambia","Area","2021","1000 ha","1012.00",""
"Georgia","Area","2021","1000 ha","6949.00",""
"Germany","Area","2021","1000 ha","34939.00",""
"Ghana","Area","2021","1000 ha","22753.30",""
"Gibraltar","Area","2021","1000 ha","1.00",""
"Greece","Area","2021","1000 ha","12890.00",""
"Greenland","Area","2021","1000 ha","41045.00",""
"Grenada","Area","2021","1000 ha","34.00",""
"Guadeloupe","Area","2021","1000 ha","162.00",""
"Guam","Area","2021","1000 ha","54.00",""
"Guatemala","Area","2021","1000 ha","10716.00",""
"Guinea","Area","2021","1000 ha","24572.00",""
"Guinea-Bissau","Area","2021","1000 ha","2812.00",""
"Guyana","Area","2021","1000 ha","19685.00",""
"Haiti","Area","2021","1000 ha","2756.00",""
"Holy See","Area","2021","1000 ha","0.04",""
"Honduras","Area","2021","1000 ha","11189.00",""
"Hungary","Area","2021","1000 ha","9126.00",""
"Iceland","Area","2021","1000 ha","10083.00",""
"India","Area","2021","1000 ha","297319.00",""
"Indonesia","Area","2021","1000 ha","189255.55",""
"Iran (Islamic Republic of)","Area","2021","1000 ha","162250.00",""
"Iraq","Area","2021","1000 ha","43412.80",""
"Ireland","Area","2021","1000 ha","6889.00",""
"Isle of Man","Area","2021","1000 ha","57.00",""
"Israel","Area","2021","1000 ha","2164.00",""
"Italy","Area","2021","1000 ha","29571.70",""
"Jamaica","Area","2021","1000 ha","1083.00",""
"Japan","Area","2021","1000 ha","36450.00",""
"Jordan","Area","2021","1000 ha","8879.40",""
"Kazakhstan","Area","2021","1000 ha","269970.00",""
"Kenya","Area","2021","1000 ha","56914.00",""
"Kiribati","Area","2021","1000 ha","81.00",""
"Kuwait","Area","2021","1000 ha","1782.00",""
"Kyrgyzstan","Area","2021","1000 ha","19180.00",""
"Land Locked Developing Countries","Area","2021","1000 ha","1670566.13",""
"Lao People's Democratic Republic","Area","2021","1000 ha","23080.00",""
"Latvia","Area","2021","1000 ha","6223.00",""
"Least Developed Countries","Area","2021","1000 ha","2039813.31",""
"Lebanon","Area","2021","1000 ha","1023.00",""
"Lesotho","Area","2021","1000 ha","3036.00",""
"Liberia","Area","2021","1000 ha","9632.00",""
"Libya","Area","2021","1000 ha","175954.00",""
"Liechtenstein","Area","2021","1000 ha","16.00",""
"Lithuania","Area","2021","1000 ha","6261.00",""
"Low Income Food Deficit Countries","Area","2021","1000 ha","2007868.61",""
"Luxembourg","Area","2021","1000 ha","257.45",""
"Madagascar","Area","2021","1000 ha","58180.00",""
"Malawi","Area","2021","1000 ha","9428.00",""
"Malaysia","Area","2021","1000 ha","32855.00",""
"Maldives","Area","2021","1000 ha","30.00",""
"Mali","Area","2021","1000 ha","122019.00",""
"Malta","Area","2021","1000 ha","32.00",""
"Marshall Islands","Area","2021","1000 ha","18.00",""
"Martinique","Area","2021","1000 ha","106.00",""
