State and other areas,Land Area
United States,3531905.00
Alabama,50645.00
Alaska,570641.00
Arizona,113594.00
Arkansas,52035.00
California,155779.00
Colorado,103642.00
Connecticut,4842.00
Delaware,1949.00
District of Columbia,61.00
Florida,53625.00
Georgia,57513.00
Hawaii,6423.00
Idaho,82643.00
Illinois,55519.00
Indiana,35826.00
Iowa,55857.00
Kansas,81759.00
Kentucky,39486.00
Louisiana,43204.00
Maine,30843.00
Maryland,9707.00
Massachusetts,7800.00
Michigan,56539.00
Minnesota,79627.00
Mississippi,46923.00
Missouri,68742.00
Montana,145546.00
Nebraska,76824.00
Nevada,109781.00
New Hampshire,8953.00
New Jersey,7354.00
New Mexico,121298.00
New York,47126.00
North Carolina,48618.00
North Dakota,69001.00
Ohio,40861.00
Oklahoma,68595.00
Oregon,95988.00
Pennsylvania,44743.00
Rhode Island,1034.00
South Carolina,30061.00
South Dakota,75811.00
Tennessee,41235.00
Texas,261232.00
Utah,82170.00
Vermont,9217.00
Virginia,39490.00
Washington,66456.00
West Virginia,24038.00
Wisconsin,54158.00
Wyoming,97093.00
Puerto Rico,3424.00
American Samoa,76.00
Guam,210.00
Northern Mariana Islands,182.00
U.S. Virgin Islands,134.00
